TryWith,MinStars,MaxDist,MaxPrice,TakeReferral,Frequency,Gender,Age,Student,Income,Children,RestDistance,RestRating,RestPrice,RestDiscount
1,4.058,15,18,5,5,1,36,0,215,1,21,1.17,16,2
0,3.49,20,23,4,5,0,36,0,95,0,18,1.17,16,2
0,4,15,15,4,2,1,61,0,8,1,28,3.32,16,2
0,3.738,45,11,4,2,0,30,0,24,0,25,4.11,16,2
0,4,20,18,4,4,0,36,0,8,1,6,1.17,16,2
1,3.226,18,20,4,4,1,48,0,24,1,28,2.796,19,2
0,3.49,30,20,4,4,0,30,0,95,0,28,2.02,19,2
0,3.49,15,15,4,4,1,30,0,36,1,18,2.02,19,3
0,3.226,27,23,5,3,1,36,0,215,1,21,3.32,19,3
1,4.058,18,18,4,5,1,30,0,215,0,6,2.796,19,3
1,4,45,38,4,5,0,24,0,480,1,28,1.17,19,3
1,4.328,45,23,4,2,0,24,0,24,0,28,1.17,19,3
0,4,15,15,4,2,1,24,1,8,0,18,3.32,19,3
0,4.328,18,20,3,5,0,61,0,95,1,28,4.11,23,3
0,2.4408,27,27,4,4,0,41,0,24,0,28,2.02,23,3
0,4.328,30,38,4,3,1,61,0,215,1,21,1.54,26,3
0,2.4408,10,11,4,3,1,36,0,8,1,28,4.11,26,3
1,3.226,10,38,4,4,0,24,1,215,1,25,1.17,26,3
0,4.058,30,15,4,5,1,33,0,24,0,21,1.54,26,3
0,4,45,18,5,3,0,30,0,95,0,10,2.02,26,3
0,3.738,15,20,5,3,0,36,0,215,1,21,2.418,30,3
0,3.49,45,38,4,2,0,30,0,24,1,25,2.418,30,3
0,3.49,10,27,5,4,0,24,0,95,1,10,2.02,30,3
0,4,20,38,4,2,1,48,0,24,0,15,3.32,30,3
0,4.328,10,18,3,3,0,30,0,68,1,21,2.418,33,3
0,2.4408,30,23,4,2,1,41,0,480,0,18,2.796,33,3
1,4,20,18,5,3,0,48,0,36,0,25,3.32,33,3
0,4,15,20,4,2,0,61,0,8,1,10,4.11,33,3
0,4,20,38,5,5,0,41,0,68,1,15,3.32,33,3
0,4.328,10,11,4,3,0,41,0,215,1,6,4.11,33,3
1,3.226,15,18,4,2,0,24,0,49,0,15,4.11,33,3
0,2.4408,10,18,4,1,0,61,0,8,1,18,2.02,33,3
0,2.4408,18,38,4,4,1,61,0,36,1,18,3.32,33,3
0,3.226,27,15,4,2,1,48,0,49,0,10,1.17,12,3
1,4.058,45,11,4,1,0,36,0,8,0,15,2.02,12,3
0,4.328,18,11,5,4,1,33,0,95,1,10,2.418,12,3
0,4,30,11,4,4,0,41,0,36,1,6,4.11,12,3
0,3.49,15,18,4,2,1,61,0,215,0,21,1.17,12,3
0,4.8421,10,27,5,5,1,24,0,68,0,21,1.54,16,3
0,3.226,45,20,4,5,0,33,0,68,0,25,2.796,16,3
0,2.4408,10,11,4,4,0,24,1,36,0,25,4.11,16,3
0,3.226,10,15,4,3,1,61,0,49,0,15,2.02,19,3
0,4.8421,30,27,4,4,0,61,0,215,1,28,2.796,19,3
0,4.8421,10,11,1,2,1,24,0,36,0,21,3.32,19,3
0,3.738,30,27,5,5,0,30,0,215,0,21,1.54,23,3
1,3.49,30,18,4,1,1,61,0,36,0,25,4.11,23,3
1,4.8421,30,20,5,5,0,30,0,215,1,6,1.17,23,3
0,4.328,27,20,5,5,0,24,0,95,0,15,1.54,23,3
0,3.49,10,23,4,4,1,36,0,95,1,28,2.796,23,3
0,3.738,15,38,2,2,1,30,0,95,0,28,2.796,26,3
0,3.738,27,15,4,3,0,48,0,49,1,15,1.54,26,3
1,4.328,20,23,4,2,0,24,1,8,0,28,4.11,26,3
0,3.226,45,38,4,3,0,41,0,95,1,10,2.418,30,3
0,3.49,18,11,4,4,0,30,0,36,1,15,4.11,30,3
1,2.4408,45,18,4,3,0,24,1,68,0,15,2.418,30,3
0,4.058,45,20,4,2,0,33,1,36,1,28,3.32,30,3
1,4.8421,20,20,4,4,0,61,0,8,0,18,3.32,30,3
0,4.058,30,23,2,5,0,61,0,8,0,15,4.11,30,5
0,4,30,27,4,4,0,61,1,49,1,15,1.17,30,5
0,4.058,45,18,4,4,0,36,0,215,1,10,3.32,33,5
0,3.49,45,38,5,5,0,33,0,68,1,15,2.02,33,5
0,3.49,15,11,5,5,0,48,0,36,0,6,2.02,33,5
0,3.226,27,38,4,5,0,48,0,24,0,21,2.02,33,5
1,2.4408,20,11,4,2,0,33,0,68,1,21,1.54,12,5
0,3.49,45,18,3,5,0,30,0,36,1,15,1.54,12,5
1,3.738,20,27,5,4,0,61,0,215,1,28,2.796,12,5
0,3.49,30,27,4,2,1,36,0,49,1,10,1.54,12,5
0,3.738,45,15,4,3,0,30,0,68,0,10,2.796,12,5
1,4.058,15,11,5,5,1,48,0,24,1,10,1.17,12,5
0,4.328,45,27,5,5,0,61,0,49,1,6,2.796,12,5
0,3.226,18,11,4,2,0,36,0,68,0,6,2.02,12,5
0,3.226,10,15,4,2,1,61,0,24,0,28,2.02,12,5
0,3.226,15,15,1,5,0,61,0,49,0,28,4.11,16,5
0,3.226,18,23,4,3,0,24,0,480,1,28,1.54,16,5
0,3.226,10,11,4,5,1,48,0,24,1,28,4.11,16,5
0,4.058,15,18,4,2,1,61,0,95,1,15,3.32,16,5
1,4.328,18,18,4,3,0,30,0,24,0,21,4.11,16,5
0,4.328,10,11,1,1,0,61,0,8,0,6,2.418,19,5
0,4.058,30,38,4,4,0,61,0,215,1,15,2.796,19,5
0,4.328,18,15,4,5,1,30,0,24,1,18,4.11,19,5
1,2.4408,10,18,5,5,0,36,0,8,0,10,1.17,19,5
0,3.738,18,23,3,5,1,36,0,68,1,21,1.17,19,5
0,2.4408,18,38,5,3,0,41,0,24,1,28,1.54,23,5
0,3.738,27,11,4,4,1,61,0,8,0,10,2.796,23,5
1,4.328,45,38,4,5,1,41,0,49,1,28,2.02,23,5
0,3.226,10,11,4,5,1,33,0,480,0,6,2.418,23,5
1,4,20,20,4,4,1,30,0,49,1,10,3.32,23,5
0,4.328,30,38,5,4,1,33,0,68,0,15,1.17,23,5
0,4.058,45,38,4,5,0,48,0,49,1,18,2.418,26,5
0,4.328,30,23,4,5,0,61,0,36,1,18,2.796,26,5
0,2.4408,45,20,5,4,1,41,0,215,0,15,2.02,26,5
0,4,45,27,5,5,1,41,0,8,0,6,2.418,26,5
0,4.328,18,15,4,2,0,33,0,49,0,21,3.32,26,5
0,3.49,45,15,4,2,0,41,1,24,1,21,4.11,26,5
0,3.49,27,38,4,2,1,30,0,8,0,6,1.17,26,5
0,4.058,45,38,4,4,1,33,0,49,0,15,4.11,26,5
0,3.49,45,38,4,2,0,24,1,24,0,18,1.54,30,5
1,3.226,27,20,4,4,0,33,0,95,0,6,3.32,30,5
0,4.328,10,23,5,5,1,24,0,480,0,25,2.796,30,5
0,3.226,10,18,2,5,1,36,0,68,0,18,2.02,30,5
0,4.058,10,23,4,5,0,61,0,24,0,21,2.418,30,5
0,3.738,15,15,4,3,1,30,0,24,1,18,1.54,30,5
0,3.738,18,27,4,5,0,36,0,49,1,21,2.02,33,5
0,3.738,30,38,4,5,0,48,0,95,1,18,2.02,33,5
0,3.226,18,20,5,5,0,61,0,8,1,15,2.418,33,5
0,2.4408,10,11,3,4,1,48,0,68,1,25,2.796,33,5
0,3.49,27,20,5,5,0,41,0,68,1,25,1.17,33,5
1,4.328,18,11,3,3,1,36,0,24,1,15,2.02,33,6
0,3.226,27,20,4,3,0,36,0,68,1,18,2.796,33,6
1,3.49,27,23,5,3,0,61,0,95,1,28,1.17,12,6
0,3.738,30,38,4,5,1,30,1,68,0,28,2.02,12,6
0,4,20,20,3,5,1,36,0,49,0,6,2.796,12,6
1,2.4408,45,27,4,5,1,33,0,215,1,6,2.418,12,6
1,2.4408,27,15,5,5,0,33,0,49,0,21,2.796,12,6
1,4.058,15,20,4,4,1,30,1,8,0,18,1.54,12,6
0,4.328,18,23,4,4,0,24,0,49,1,15,1.54,16,6
1,3.226,45,38,4,5,1,61,0,95,1,25,2.02,16,6
0,4.058,45,15,4,5,1,41,0,95,1,25,4.11,16,6
1,4,20,15,4,4,0,61,0,49,1,10,4.11,16,6
0,2.4408,45,27,5,3,1,30,0,8,0,10,1.54,16,6
0,3.49,18,38,4,5,1,48,0,95,0,28,1.54,16,6
0,3.738,30,18,4,4,0,41,0,49,0,28,2.796,19,6
0,3.738,30,20,4,3,0,33,0,95,1,15,1.17,19,6
1,4.8421,10,11,4,1,1,41,0,8,0,25,3.32,19,6
0,4,15,27,3,4,1,61,0,36,1,28,2.796,19,6
0,3.49,30,27,4,2,0,33,0,8,1,21,2.418,19,6
0,4.058,20,23,5,4,1,61,0,480,1,25,1.54,23,6
1,2.4408,45,38,4,4,1,61,0,95,1,28,3.32,23,6
0,4,18,15,4,4,0,30,0,36,0,6,2.418,23,6
0,4.328,10,18,1,2,0,48,0,24,0,18,2.418,23,6
1,4.058,45,38,4,3,1,24,0,95,1,25,4.11,23,6
0,4.328,20,38,4,3,0,36,0,215,1,25,3.32,26,6
0,4.058,30,20,4,2,1,30,0,215,0,15,3.32,26,6
0,4.058,15,23,5,4,0,30,1,95,0,28,2.02,26,6
0,3.49,27,23,4,5,0,61,0,49,1,6,4.11,30,6
0,4.328,45,27,4,6,0,24,1,8,0,21,3.32,30,6
1,2.4408,27,27,3,3,0,30,0,215,1,28,2.02,30,6
0,4.328,18,23,2,4,0,48,0,480,1,10,2.418,33,6
0,3.226,27,27,5,3,1,36,0,215,1,18,3.32,33,6
1,4.058,20,38,5,3,0,33,0,68,0,15,3.32,33,6
0,3.49,20,38,4,3,0,33,0,68,0,25,3.32,33,6
1,4,15,27,4,4,0,61,0,24,1,15,3.32,33,6
1,4.058,45,15,4,4,0,48,0,68,1,6,3.32,12,6
0,3.49,10,11,3,5,0,41,0,215,1,18,1.54,12,6
1,3.49,15,11,3,2,0,33,0,24,1,6,2.796,12,6
0,3.49,45,20,5,4,0,33,0,215,1,10,2.02,12,6
0,3.738,27,23,4,2,0,33,0,68,1,10,1.54,12,6
1,3.226,15,18,4,2,1,48,0,36,0,6,2.02,12,6
1,4.328,45,38,4,4,0,61,0,49,1,10,4.11,16,6
0,4.058,20,15,5,5,0,24,1,68,1,28,2.796,16,6
0,4.8421,20,23,4,1,0,30,1,8,0,10,3.32,16,6
0,3.226,10,38,5,5,1,41,0,480,1,28,1.17,16,6
0,4.058,45,27,4,5,1,36,0,36,0,10,4.11,19,6
0,4.058,15,20,4,5,1,36,0,68,0,21,2.418,19,6
1,4.328,45,23,4,3,1,61,0,24,1,6,1.17,19,6
1,3.738,20,18,5,3,1,24,0,95,0,18,4.11,19,6
0,2.4408,30,23,3,2,1,48,1,95,1,10,1.54,23,6
0,4.328,18,18,4,4,0,48,0,36,1,28,2.418,23,8
1,4.058,20,20,4,2,0,24,1,8,0,15,4.11,23,8
0,3.226,27,15,4,2,0,61,0,24,0,18,1.54,23,8
1,3.738,27,23,5,5,1,30,0,95,1,21,3.32,23,8
0,3.226,45,15,3,2,0,36,0,8,0,25,2.02,26,8
0,4.058,20,23,4,5,0,36,1,95,1,25,3.32,26,8
0,4.328,10,18,4,5,1,48,0,215,1,28,3.32,26,8
0,3.49,18,20,4,5,1,36,0,68,0,21,1.54,30,8
1,2.4408,45,38,4,3,1,48,0,49,1,21,4.11,30,8
0,3.738,45,38,4,5,0,41,0,215,0,10,1.54,30,8
1,2.4408,10,18,5,2,0,41,0,8,1,18,1.54,30,8
0,3.226,45,27,5,4,0,61,0,24,0,25,1.17,33,8
0,3.738,30,27,4,5,0,48,1,49,1,28,2.418,33,8
0,3.226,15,18,4,5,1,33,0,49,0,28,1.54,33,8
1,2.4408,10,15,4,4,0,41,0,68,1,6,2.02,33,8
0,3.226,27,27,4,2,0,30,0,480,1,6,2.02,33,8
1,2.4408,18,38,4,2,0,36,0,95,0,21,2.796,33,8
1,3.226,27,27,5,5,1,33,0,36,0,10,3.32,33,8
1,3.49,27,11,3,2,1,36,0,24,1,18,2.02,12,8
1,2.4408,27,20,4,5,1,48,0,68,1,28,1.17,12,8
0,4,30,11,4,5,1,33,0,36,0,18,1.17,12,8
1,3.226,15,18,4,2,0,24,0,24,0,25,1.54,16,8
0,4,15,18,4,5,0,61,0,95,0,25,3.32,16,8
1,4,30,15,4,2,1,24,0,8,0,25,4.11,16,8
1,2.4408,18,38,4,4,1,61,1,24,0,25,2.796,16,8
0,3.49,10,15,4,3,1,61,0,68,1,21,1.17,16,8
0,3.49,15,18,4,2,0,61,0,215,1,18,1.54,16,8
0,3.738,30,38,4,1,0,48,0,24,0,18,2.02,19,8
1,3.738,27,20,4,5,1,33,0,36,1,18,4.11,19,8
0,4.058,45,27,5,2,0,33,1,24,0,10,2.418,19,8
0,3.226,18,23,5,3,0,24,0,68,1,6,1.54,19,8
0,4,27,15,5,2,0,33,1,8,0,28,3.32,19,8
1,4.328,45,38,4,5,1,36,0,49,1,6,1.17,23,8
1,2.4408,18,15,4,2,0,41,0,36,1,25,2.02,23,8
0,3.226,18,23,4,4,1,30,0,95,0,15,2.796,23,8
1,3.226,18,18,4,3,0,48,0,8,0,10,4.11,23,8
0,4.328,45,38,4,2,0,61,0,68,0,6,1.17,23,8
1,3.226,45,38,4,5,1,61,0,49,1,15,2.02,23,8
0,4.328,10,15,5,3,1,36,0,215,1,25,3.32,26,8
0,3.226,27,20,4,5,1,41,0,49,0,25,2.02,26,8
1,4,15,23,4,2,0,30,0,8,0,25,4.11,26,8
0,3.738,30,27,4,4,0,33,0,215,1,10,2.02,26,8
0,2.4408,10,15,1,2,1,48,0,8,0,6,2.796,30,8
0,3.738,15,15,4,2,1,48,0,49,0,15,1.54,30,8
0,4.328,27,20,4,3,0,33,0,49,0,25,4.11,30,8
0,4.058,20,15,2,4,1,48,0,68,1,21,4.11,30,8
0,3.49,45,38,5,5,1,33,0,68,1,6,1.17,30,8
0,4,20,20,5,5,1,61,0,95,1,18,4.11,30,8
1,4,30,27,5,5,0,33,0,36,0,10,4.11,30,8
1,4.328,45,18,5,4,0,30,0,49,1,21,2.418,33,8
1,4.058,20,38,5,3,1,41,0,480,1,10,4.11,33,9
0,3.226,18,38,4,5,1,30,0,49,0,21,1.17,33,9
0,2.4408,10,38,1,4,1,30,0,215,0,10,1.54,33,9
1,2.4408,27,23,5,5,1,41,0,49,0,25,2.418,33,9
0,3.226,27,11,4,5,0,24,0,49,1,6,2.796,33,9
0,4.8421,20,18,4,5,0,24,0,36,0,25,3.32,33,9
1,3.226,27,38,3,2,1,36,0,36,0,15,4.11,33,9
0,3.49,45,18,4,3,0,24,0,49,0,18,1.54,33,9
0,3.738,20,20,4,2,0,30,0,68,0,28,2.02,33,9
0,3.738,30,38,4,4,0,41,0,49,1,28,2.418,33,9
0,4.058,27,27,4,3,1,24,1,36,0,21,2.418,33,9
0,3.49,15,18,3,2,0,33,0,8,0,25,2.02,33,9
0,4.8421,18,15,4,2,0,61,0,36,1,18,2.418,33,9
0,2.4408,27,20,4,5,0,24,1,8,0,10,2.796,33,9
1,3.738,45,27,5,5,1,48,0,24,1,18,2.418,12,9
0,2.4408,18,15,4,5,0,36,0,95,1,15,1.17,12,9
1,2.4408,18,11,4,2,0,41,0,24,1,21,1.17,16,9
0,2.4408,18,20,4,2,0,24,1,24,0,10,1.17,16,9
1,3.226,27,15,2,1,0,61,0,24,0,18,1.54,16,9
1,4.058,30,27,4,4,0,33,1,95,1,21,3.32,19,9
0,2.4408,30,38,2,4,1,48,1,215,1,6,4.11,19,9
0,3.738,30,27,5,5,0,48,0,36,0,21,2.02,19,9
1,3.226,27,18,5,4,0,61,0,36,0,15,1.54,19,9
0,3.49,27,20,4,2,0,41,1,24,1,21,1.54,19,9
0,3.49,45,27,4,5,0,24,1,8,0,18,1.54,23,9
0,4.328,30,38,5,4,0,41,0,24,0,15,4.11,23,9
1,2.4408,45,27,4,5,0,33,0,68,1,28,2.418,23,9
0,3.49,30,27,5,5,1,33,0,24,1,6,1.17,23,9
1,3.738,30,18,5,2,0,61,0,215,1,10,3.32,26,9
1,2.4408,27,38,3,5,0,48,0,215,0,28,1.17,26,9
1,3.49,45,23,4,4,0,48,0,215,1,28,1.54,26,9
0,3.226,18,11,4,3,1,48,0,215,1,6,3.32,26,9
0,4.058,20,38,5,2,0,61,0,95,0,28,3.32,26,9
0,4.328,18,23,4,5,1,61,0,215,1,21,2.02,30,9
1,4.8421,20,15,5,5,1,48,0,480,1,28,2.796,30,9
0,4,45,23,5,2,0,36,0,36,1,28,4.11,30,9
0,4,30,27,4,2,0,36,0,24,1,6,1.17,30,9
0,3.49,18,38,4,5,1,36,0,480,1,21,1.17,30,9
0,4,27,23,4,1,0,41,0,49,0,15,1.17,33,9
0,4.058,20,38,4,4,1,61,0,95,1,15,2.418,33,9
0,2.4408,10,18,4,6,0,61,0,24,0,6,2.418,33,9
0,4.328,30,20,3,2,0,61,0,49,1,18,2.418,33,9
0,4,20,20,4,4,1,61,0,68,1,28,4.11,33,9
1,3.226,18,15,4,5,1,41,0,95,0,28,4.11,12,9
0,3.738,15,20,4,3,0,24,0,36,0,18,2.796,12,9
1,4.8421,20,18,5,5,0,30,0,215,1,10,4.11,12,9
1,3.738,20,11,4,3,0,61,0,36,1,21,4.11,12,9
1,4.328,10,11,4,3,0,24,1,8,0,25,4.11,16,9
0,4,15,20,2,3,0,33,0,8,0,6,4.11,16,9
0,4,15,11,4,2,0,36,0,8,1,18,2.418,16,9
0,3.738,20,20,5,3,1,36,0,49,1,15,2.418,19,9
0,4.058,15,27,4,5,0,33,0,480,1,21,2.02,19,9
1,3.49,20,23,4,2,0,36,0,36,0,6,4.11,19,9
1,4,45,15,5,1,0,61,0,8,0,28,4.11,23,9
0,3.226,18,11,3,2,0,33,0,24,0,21,3.32,23,9
1,2.4408,10,15,4,2,0,41,0,24,1,28,4.11,23,9
0,4.058,15,27,4,2,0,61,0,215,0,6,1.17,26,9
0,3.49,30,27,5,2,0,41,0,24,0,28,1.17,26,9
0,3.738,45,20,4,4,1,61,0,95,1,10,1.54,26,9
1,3.738,45,18,3,5,0,48,0,68,0,18,2.02,30,9
1,4,20,23,4,5,0,36,0,68,1,6,2.796,30,9
1,2.4408,27,38,4,4,1,48,0,215,1,21,2.418,30,9
0,4,20,38,4,4,0,36,0,68,0,15,2.796,30,9
0,3.738,10,18,3,3,1,24,0,8,0,6,4.11,30,9
0,4,20,18,4,2,0,36,0,24,0,28,2.418,33,9
1,2.4408,27,23,4,5,0,61,0,215,1,15,2.418,33,9
0,3.738,45,20,4,4,0,41,1,36,1,6,1.54,33,9
1,4.058,45,23,4,5,0,24,0,68,0,25,3.32,33,9
